Case #1
2839
1 1
1 4
1 7
1 10
1 13
1 16
1 19
1 22
1 25
1 28
1 31
1 34
1 37
1 40
1 43
1 46
1 49
1 52
1 55
1 58
1 61
1 64
1 67
1 70
1 73
1 76
1 79
1 82
1 85
1 88
1 91
1 94
1 97
1 100
1 103
1 106
1 109
1 112
1 115
1 118
1 121
1 124
1 127
1 130
1 133
1 136
1 139
1 142
1 145
1 148
1 151
1 154
1 157
1 160
1 163
1 166
1 169
1 172
1 175
1 178
1 181
1 184
1 187
1 190
1 193
1 196
1 199
1 202
1 205
1 208
1 211
1 214
1 217
1 220
1 223
1 226
1 229
1 232
1 235
1 238
1 241
1 244
1 247
1 250
1 253
1 256
1 259
1 262
1 265
1 268
1 271
1 274
1 277
1 280
1 283
1 286
1 289
1 292
1 295
1 298
1 301
1 304
1 307
1 310
1 313
1 316
1 319
1 322
1 325
1 328
1 331
1 334
1 337
1 340
1 343
1 346
1 349
1 352
1 355
1 358
1 361
1 364
1 367
1 370
1 373
1 376
1 379
1 382
1 385
1 388
1 391
1 394
1 397
1 400
1 403
1 406
1 409
1 412
1 415
1 418
1 421
1 424
1 427
1 430
1 433
1 436
1 439
1 442
1 445
1 448
1 451
1 454
1 457
1 460
1 463
1 466
1 469
1 472
1 475
1 478
1 481
1 484
1 487
1 490
1 493
1 496
4 1
4 4
4 7
4 10
4 13
4 16
4 19
4 22
4 25
4 28
4 31
4 34
4 37
4 40
4 43
4 46
4 49
4 52
4 55
4 58
4 61
4 64
4 67
4 70
4 73
4 76
4 79
4 82
4 85
4 88
4 91
4 94
4 97
4 100
4 103
4 106
4 109
4 112
4 115
4 118
4 121
4 124
4 127
4 130
4 133
4 136
4 139
4 142
4 145
4 148
4 151
4 154
4 157
4 160
4 163
4 166
4 169
4 172
4 175
4 178
4 181
4 184
4 187
4 190
4 193
4 196
4 199
4 202
4 205
4 208
4 211
4 214
4 217
4 220
4 223
4 226
4 229
4 232
4 235
4 238
4 241
4 244
4 247
4 250
4 253
4 256
4 259
4 262
4 265
4 268
4 271
4 274
4 277
4 280
4 283
4 286
4 289
4 292
4 295
4 298
4 301
4 304
4 307
4 310
4 313
4 316
4 319
4 322
4 325
4 328
4 331
4 334
4 337
4 340
4 343
4 346
4 349
4 352
4 355
4 358
4 361
4 364
4 367
4 370
4 373
4 376
4 379
4 382
4 385
4 388
4 391
4 394
4 397
4 400
4 403
4 406
4 409
4 412
4 415
4 418
4 421
4 424
4 427
4 430
4 433
4 436
4 439
4 442
4 445
4 448
4 451
4 454
4 457
4 460
4 463
4 466
4 469
4 472
4 475
4 478
4 481
4 484
4 487
4 490
4 493
4 496
7 1
7 4
7 7
7 10
7 13
7 16
7 19
7 22
7 25
7 28
7 31
7 34
7 37
7 40
7 43
7 46
7 49
7 52
7 55
7 58
7 61
7 64
7 67
7 70
7 73
7 76
7 79
7 82
7 85
7 88
7 91
7 94
7 97
7 100
7 103
7 106
7 109
7 112
7 115
7 118
7 121
7 124
7 127
7 130
7 133
7 136
7 139
7 142
7 145
7 148
7 151
7 154
7 157
7 160
7 163
7 166
7 169
7 172
7 175
7 178
7 181
7 184
7 187
7 190
7 193
7 196
7 199
7 202
7 205
7 208
7 211
7 214
7 217
7 220
7 223
7 226
7 229
7 232
7 235
7 238
7 241
7 244
7 247
7 250
7 253
7 256
7 259
7 262
7 265
7 268
7 271
7 274
7 277
7 280
7 283
7 286
7 289
7 292
7 295
7 298
7 301
7 304
7 307
7 310
7 313
7 316
7 319
7 322
7 325
7 328
7 331
7 334
7 337
7 340
7 343
7 346
7 349
7 352
7 355
7 358
7 361
7 364
7 367
7 370
7 373
7 376
7 379
7 382
7 385
7 388
7 391
7 394
7 397
7 400
7 403
7 406
7 409
7 412
7 415
7 418
7 421
7 424
7 427
7 430
7 433
7 436
7 439
7 442
7 445
7 448
7 451
7 454
7 457
7 460
7 463
7 466
7 469
7 472
7 475
7 478
7 481
7 484
7 487
7 490
7 493
7 496
10 1
10 4
10 7
10 10
10 13
10 16
10 19
10 22
10 25
10 28
10 31
10 34
10 37
10 40
10 43
10 46
10 49
10 52
10 55
10 58
10 61
10 64
10 67
10 70
10 73
10 76
10 79
10 82
10 85
10 88
10 91
10 94
10 97
10 100
10 103
10 106
10 109
10 112
10 115
10 118
10 121
10 124
10 127
10 130
10 133
10 136
10 139
10 142
10 145
10 148
10 151
10 154
10 157
10 160
10 163
10 166
10 169
10 172
10 175
10 178
10 181
10 184
10 187
10 190
10 193
10 196
10 199
10 202
10 205
10 208
10 211
10 214
10 217
10 220
10 223
10 226
10 229
10 232
10 235
10 238
10 241
10 244
10 247
10 250
10 253
10 256
10 259
10 262
10 265
10 268
10 271
10 274
10 277
10 280
10 283
10 286
10 289
10 292
10 295
10 298
10 301
10 304
10 307
10 310
10 313
10 316
10 319
10 322
10 325
10 328
10 331
10 334
10 337
10 340
10 343
10 346
10 349
10 352
10 355
10 358
10 361
10 364
10 367
10 370
10 373
10 376
10 379
10 382
10 385
10 388
10 391
